User_ID;Timestamp;Longitude;Latitude;Speed;Operatorname;Node;CellID;LAC;NetworkTech;Level;Qual;SNR;CQI;LTERSSI;ARFCN;DL_bitrate;UL_bitrate;PSC;Altitude;Accuracy;State;SERVINGTIME;BANDWIDTH;SecondCell_NODE;SecondCell_CELLID;SecondCell_RSRP;SecondCell_SNR;SecondCell_PSC;SecondCell_ARFCN;NTech1;NCellid1;NLAC1;NCell1;NARFCN1;NRxLev1;NQual1;PINGAVG;PINGMIN;PINGMAX;PINGSTDEV;PINGLOSS;TESTDOWNLINK;TESTUPLINK;TESTDOWNLINKMAX;TESTUPLINKMAX;Test_Status;Mobility;Node_Longitude;Node_Latitude;SessionID;ElapsedTime;Application_Type
43;2025.03.06_11.53.51;101.6029513;3.06533008;43.0;Operator A;702072.0;20.0;5123.0;5G;-79.0;-5.0;4.0;5.0;;9310.0;328.0;20.0;473.0;26.0;11.0;D;10.0;20.0;702072.0;20.0;-82.0;-8.0;473.0;9310.0;4G;702072-20;5123.0;473.0;9310.0;-82.0;-19.0;201.625;20.0;350.0;106.0;0.0;542.0;4009.5;612.0;5232.0;NONE;Driving;101.6016286;3.06529604;20;342.0;Background_Download
44;2025.03.06_11.57.31;101.6107054;3.07125849;38.0;Operator A;701684.0;30.0;5123.0;5G;-89.0;-11.0;-3.0;12.0;;9310.0;544.0;21.0;456.0;27.0;11.0;D;36.0;20.0;701684.0;30.0;-71.0;-3.0;456.0;9310.0;4G;701684-30;5123.0;456.0;9310.0;-71.0;-17.0;37.0;13.0;53.0;11.0;0.0;579.0;5752.0;689.0;7787.0;NONE;Driving;101.6107273;3.07073902;20;562.0;Video_Streaming
45;2025.03.06_12.01.31;101.612438;3.0797618900000003;0.0;Operator A;701895.0;30.0;5123.0;5G;-92.0;-14.0;-2.0;8.0;;9310.0;554.0;33.0;197.0;27.0;8.0;D;48.0;20.0;701895.0;30.0;-81.0;-10.0;197.0;9310.0;4G;701895-30;5123.0;197.0;9310.0;-81.0;-17.0;132.0;25.0;600.0;170.0;0.0;433.0;4914.0;497.0;6588.0;NONE;Walking;101.6123955;3.07890349;20;802.0;Background_Download
46;2025.03.06_12.04.02;101.6102115;3.07629803;0.0;Operator C;701806.0;30.0;5123.0;5G;-87.0;-7.0;1.0;9.0;;9310.0;576.0;27.0;329.0;27.0;6.0;D;51.0;20.0;701806.0;30.0;-77.0;0.0;329.0;9310.0;4G;701806-30;5123.0;329.0;9310.0;-77.0;-13.0;20.0;11.0;67.0;16.0;0.0;648.0;6727.0;690.0;8759.0;NONE;Walking;101.6101976;3.07598075;18;39.0;Video_Streaming
47;2025.03.06_12.26.31;101.6092256;3.06573961;0.0;Operator C;701911.0;20.0;5123.0;5G;-81.0;-7.0;14.0;6.0;;9310.0;568.0;26.0;371.0;30.0;11.0;D;26.0;20.0;701911.0;20.0;-78.0;-10.0;371.0;9310.0;4G;701911-20;5128.0;371.0;9310.0;-78.0;-20.0;181.0;19.0;374.0;116.0;0.0;540.0;5711.0;621.0;7000.0;NONE;Walking;101.6087852;3.06551172;18;1388.0;Background_Download
48;2025.03.06_12.33.37;101.6124118;3.0797618900000003;0.0;Operator C;701895.0;30.0;5123.0;5G;-97.0;-14.0;-5.0;11.0;;9310.0;275.0;12.0;197.0;31.0;11.0;D;71.0;20.0;701895.0;30.0;-77.0;1.0;197.0;9310.0;4G;701895-30;5123.0;197.0;9310.0;-77.0;-16.0;112.0;21.0;357.0;120.0;0.0;384.0;6491.0;505.0;9008.0;NONE;Walking;101.6123955;3.07890349;18;1814.0;Web_Browse
49;2025.04.02_12.07.22;101.6052844;3.07097322;3.0;Operator B;701905.0;10.0;5123.0;5G;-106.0;-6.0;7.0;7.0;;9310.0;517.0;17.0;298.0;18.0;11.0;D;118.0;20.0;701905.0;10.0;-94.0;8.0;298.0;9310.0;4G;701905-10;5123.0;298.0;9310.0;-94.0;-16.0;71.0;37.0;107.0;22.0;0.0;379.0;6238.0;517.0;7963.0;NONE;Walking;101.6055148;3.07049259;20;113.0;Video_Call
50;2025.03.20_12.38.19;101.6100067;3.07395735;21.0;Operator C;702109.0;20.0;5123.0;5G;-79.0;-5.0;14.0;15.0;;9310.0;805.0;70.0;240.0;-1.0;6.0;D;6.0;20.0;702109.0;20.0;-78.0;-2.0;240.0;9310.0;4G;702109-20;5123.0;240.0;9310.0;-78.0;-14.0;201.625;15.0;377.0;116.0;0.0;435.0;5827.0;598.0;7637.0;NONE;Driving;101.6083034;3.07346582;19;41.0;Background_Download
51;2025.03.20_12.40.44;101.6089702;3.0711424;0.0;Operator C;701684.0;30.0;5123.0;5G;-98.0;-3.0;16.0;12.0;;9310.0;372.0;28.0;456.0;-2.0;8.0;D;90.0;20.0;701684.0;30.0;-87.0;8.0;456.0;9310.0;4G;701684-30;5123.0;456.0;9310.0;-87.0;-17.0;35.0;16.0;51.0;11.0;0.0;475.0;5526.0;587.0;8991.0;NONE;Walking;101.6107273;3.07073902;19;186.0;Video_Streaming
52;2025.03.20_12.56.01;101.5997157;3.06526277;13.0;Operator C;702072.0;30.0;5123.0;5G;-83.0;-4.0;14.0;11.0;;9310.0;649.0;44.0;471.0;-4.0;6.0;D;65.0;20.0;702072.0;30.0;-84.0;9.0;471.0;9310.0;4G;702072-30;5123.0;471.0;9310.0;-84.0;-15.0;156.0;13.0;330.0;109.0;0.0;529.0;7297.5;585.0;10364.0;NONE;Driving;101.6016286;3.06529604;19;1103.0;Background_Download
53;2025.03.20_13.10.03;101.601107;3.06540172;17.0;Operator C;702072.0;30.0;5123.0;5G;-82.0;-5.0;18.0;11.0;;9310.0;548.0;29.0;471.0;-1.0;11.0;D;107.0;20.0;702072.0;30.0;-65.0;16.0;471.0;9310.0;4G;702072-30;5123.0;471.0;9310.0;-65.0;-13.0;119.0;16.0;321.0;107.0;0.0;472.0;5947.0;525.0;8436.0;NONE;Driving;101.6016286;3.06529604;19;1945.0;Web_Browse
54;2025.03.20_13.13.14;101.6056405;3.06566169;0.0;Operator A;701911.0;30.0;5123.0;5G;-93.0;-10.0;0.0;11.0;;9310.0;367.0;21.0;369.0;-1.0;6.0;D;47.0;20.0;701911.0;30.0;-93.0;1.0;369.0;9310.0;4G;701911-30;5128.0;369.0;9310.0;-93.0;-16.0;74.0;14.0;199.0;50.0;0.0;445.0;6341.0;547.0;7889.0;NONE;Walking;101.6087852;3.06551172;22;53.0;Video_Call
55;2025.03.20_13.15.11;101.6084187;3.06574393;0.0;Operator A;701911.0;30.0;5123.0;5G;-82.0;-5.0;10.0;12.0;;9310.0;543.0;35.0;369.0;-1.0;11.0;D;163.0;20.0;701911.0;30.0;-75.0;-3.0;369.0;9310.0;4G;701911-30;5128.0;369.0;9310.0;-75.0;-17.0;184.0;38.0;363.0;101.0;0.0;453.0;5428.0;547.0;7930.0;NONE;Walking;101.6087852;3.06551172;22;170.0;Background_Download
56;2025.03.20_13.18.15;101.6107087;3.06884764;16.0;Operator A;701684.0;20.0;5123.0;5G;-97.0;-5.0;6.0;10.0;;9310.0;613.0;42.0;458.0;0.0;6.0;D;95.0;20.0;701684.0;20.0;-89.0;2.0;458.0;9310.0;4G;701684-20;5123.0;458.0;9310.0;-89.0;-17.0;163.0;32.0;286.0;92.0;0.0;504.0;5461.0;596.0;6450.0;NONE;Driving;101.6107273;3.07073902;22;354.0;Background_Download
57;2025.03.20_13.35.11;101.6095879;3.06523103;0.0;Operator A;701911.0;10.0;5123.0;5G;-83.0;-11.0;4.0;12.0;;9310.0;800.0;44.0;370.0;0.0;8.0;D;77.0;20.0;701911.0;10.0;-72.0;-3.0;370.0;9310.0;4G;701911-10;5128.0;370.0;9310.0;-72.0;-15.0;55.0;26.0;97.0;24.0;0.0;452.0;5540.0;591.0;8204.0;NONE;Walking;101.6087852;3.06551172;22;1370.0;Video_Streaming
58;2025.03.20_13.55.42;101.6003116;3.06540176;11.0;Operator A;702072.0;30.0;5123.0;5G;-94.0;-5.0;10.0;11.0;;9310.0;381.0;28.0;471.0;1.0;4.0;D;88.0;20.0;702072.0;30.0;-78.0;14.0;471.0;9310.0;4G;702072-30;5123.0;471.0;9310.0;-78.0;-11.0;197.0;46.5;423.0;124.0;0.0;421.0;6064.0;549.0;7938.0;NONE;Driving;101.6016286;3.06529604;22;2601.0;Background_Download
